"","link","state"
"1","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf","Ohio"
"7","https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf","New Hampshire"
"10","http://www.field.com/fieldpollonline/subscribers/Rls2532.pdf","California"
"15","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_FL_081616.asp","Florida"
"18","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf","Arizona"
"21","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/e92b6e3e-96b0-401c-972f-1130cafd1370.pdf","Maryland"
"23","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf","Maryland"
"26","http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus","Louisiana"
"34","https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf","Pennsylvania"
"64","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/6/28/florida_decides_polls_senate_presidential.html","Florida"
"115","https://ballotpedia.org/United_States_Senate_election_in_California,_2016","California Official"
"149","https://ballotpedia.org/United_States_Senate_election_in_Pennsylvania,_2016","Pennsylvania Official"
